議員,日期,標題,類型,連署名單
李芮瑄,2025-07-12,討論修改東吳大學請假規則生理假的請假天數,提案,石書瑋；卓暐凱；胡詠傑；魏麓宸
卓暐凱,2025-07-02,學生議員行為辦法部分條文修正草案,提案,李芮瑄；洪振翔；胡詠傑；褚祥蘊
